,zpid,city,zipcode,homeType,yearBuilt,latestPrice,numPriceChanges,avgSchoolDistance,Candidate
12832,29483595,austin,78749,Single Family,1979,318000.0,3,3.0,0
12833,29507789,austin,78739,Single Family,1998,469000.0,4,1.3,0
12834,58315522,austin,78749,Single Family,2001,360000.0,2,1.4666666666666668,0
12835,29329289,austin,78703,Single Family,1941,650000.0,7,0.4666666666666666,1
12836,70342612,austin,78749,Single Family,2005,574800.0,6,1.0333333333333334,0
12837,29486594,austin,78749,Single Family,1996,209000.0,3,3.3000000000000003,0
12838,29504789,austin,78739,Single Family,1993,519900.0,1,1.2,0
12839,29329386,austin,78703,Single Family,1932,415000.0,8,0.7999999999999999,1
12840,29484608,austin,78737,Single Family,1973,520000.0,1,2.3,0
12841,29481590,austin,78749,Single Family,1994,389900.0,1,3.8333333333333335,0
12842,29499498,austin,78749,Single Family,1998,214900.0,6,1.2666666666666666,0
12843,29481605,austin,78749,Single Family,1993,425000.0,1,3.8666666666666663,0
12844,29329787,austin,78703,Single Family,2006,895000.0,1,0.5333333333333333,1
12845,29484089,austin,78749,Single Family,1983,415000.0,1,3.3666666666666667,0
12846,58315788,austin,78739,Single Family,2001,410000.0,2,1.2666666666666666,0
12847,114406294,austin,78745,Single Family,2011,439000.0,1,0.9,1
12848,29495988,austin,78749,Single Family,1985,285000.0,7,1.8333333333333333,0
12849,29504788,austin,78739,Single Family,1993,675000.0,1,1.2,0
12850,58315483,austin,78749,Single Family,2000,385000.0,1,1.6,0
12851,2079596793,austin,78745,Single Family,2009,459900.0,1,0.8666666666666667,1
12852,29491600,austin,78749,Single Family,1994,510000.0,4,1.0,0
12853,29491686,austin,78749,Single Family,1999,429900.0,1,1.0666666666666669,0
12854,58312791,austin,78745,Single Family,1992,589900.0,4,1.2333333333333334,1
12855,29487087,austin,78749,Single Family,1993,498000.0,1,1.6000000000000003,0
12856,29491479,austin,78749,Single Family,1998,294000.0,8,1.4666666666666668,0
12857,58315782,austin,78739,Single Family,2002,484900.0,1,1.2666666666666666,0
12858,29481584,austin,78749,Single Family,1984,450000.0,3,3.766666666666667,0
12859,29332284,austin,78703,Single Family,1953,549000.0,3,0.7000000000000001,1
12860,29490979,austin,78749,Single Family,1986,312000.0,3,1.7666666666666666,0
12861,29501780,austin,78739,Single Family,1997,659000.0,1,1.0333333333333334,0
12862,29492081,austin,78749,Single Family,1998,369000.0,2,1.4333333333333331,0
12863,29333283,austin,78703,Single Family,1938,2700000.0,10,1.0333333333333334,1
12864,29475290,austin,78704,Single Family,1965,245000.0,6,1.7666666666666666,1
12865,29499478,austin,78749,Single Family,1997,419900.0,1,1.4,0
12866,64619579,austin,78737,Single Family,2003,775000.0,1,1.5333333333333332,0
12867,64809777,austin,78739,Single Family,2003,449000.0,4,1.7,0
12868,29479084,austin,78749,Single Family,1983,459900.0,4,2.2,0
12869,2101271789,austin,78745,Single Family,2008,339000.0,1,0.9,1
12870,29484577,austin,78737,Single Family,1994,550000.0,2,2.1,0
12871,29495977,austin,78749,Single Family,1997,432000.0,2,1.4333333333333336,0
12872,29504777,austin,78739,Single Family,1989,499000.0,4,1.2666666666666666,0
12873,29481583,austin,78749,Single Family,1984,430000.0,2,3.733333333333333,0
12874,58312866,austin,78745,Single Family,1966,449000.0,1,1.2666666666666668,1
12875,29484576,austin,78737,Single Family,1983,500000.0,1,2.0666666666666664,0
12876,29495973,austin,78749,Single Family,1994,425000.0,2,1.4666666666666668,0
12877,29507776,austin,78739,Single Family,1998,487000.0,3,1.3333333333333333,0
12878,29491581,austin,78749,Single Family,1989,455000.0,2,1.5,0
12879,29492074,austin,78749,Single Family,1999,429000.0,2,1.3666666666666665,0
12880,29496468,austin,78749,Single Family,2001,498000.0,2,1.4666666666666668,0
12881,29329273,austin,78703,Single Family,1928,330000.0,10,0.4333333333333333,1
12882,29505276,austin,78739,Single Family,1989,475000.0,3,1.3666666666666665,0
12883,58313784,austin,78745,Single Family,1960,465000.0,2,1.1,1
12884,29491579,austin,78749,Single Family,1989,390000.0,5,1.5,0
12885,29495967,austin,78749,Single Family,1996,375000.0,2,1.4,0
12886,29501776,austin,78739,Single Family,1997,649500.0,1,1.0666666666666669,0
12887,64791571,austin,78749,Other,2004,775900.0,3,1.3333333333333333,0
12888,29327765,austin,78703,Single Family,1926,650000.0,3,0.5,1
12889,29491079,austin,78749,Single Family,1992,390000.0,1,2.0333333333333337,0
12890,64827964,austin,78749,Single Family,2003,441900.0,1,1.1666666666666667,0
12891,58313783,austin,78745,Single Family,1960,419000.0,1,1.1,1
